ID_UNIVERSAL,LUGAR_TRABAJO,MERCADO,PROVINCIA,REGION,ANTIGUEDAD,PROMEDIO_EVALUACION,NUM_FEEDBACKS,NUM_CURSOS,SCORE_EDUCACION,NUM_IDIOMAS,MOVILIDAD_DISPONIBLE,COMPETENCIA_GENERAL,liderazgo,comunicacion,trabajo_en_equipo,resolucion_problemas,orientacion_resultados,pensamiento_critico
1810594,Val-Juan De Austria,España,Valencia,Comunidad Valenciana,1.5,0.0,0.0,4.0,3.0,0.0,1.0,1.2500000000000002,0.0,0.0,0.0,0.0,0.0,0.0
1597824,Llor-Lloret De Mar,España,Gerona,Cataluña,9.0,4.333333333333333,1.0,67.0,0.0,1.0,0.0,11.983333333333333,0.0,0.1607618618498124,0.1201718766896969,0.0,0.0,0.3842145897929602
1846136,Mad-A.Aguilera,España,Madrid,Madrid,1.83,2.0,1.0,66.0,0.0,0.0,0.0,10.8,0.0,0.05709938603734318,0.0,0.0,0.0,0.0
1854429,Lp-Las Arenas,España,Las Palmas,Canarias,1.25,0.0,0.0,12.0,0.0,0.0,0.0,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
939247,Bcn-Glorias,España,Barcelona,Cataluña,16.58,0.0,0.0,9.0,0.0,3.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0
274025,Ben-La Marina,España,Alicante,Comunidad Valenciana,16.75,4.0,0.0,33.0,0.0,1.0,0.0,6.65,0.0,0.18488757196083286,0.0,0.0,0.0,0.0
1679666,Gand-La Vital,España,Valencia,Comunidad Valenciana,3.25,0.0,0.0,32.0,0.0,0.0,0.0,4.8,0.0,0.255098527039107,0.1379779738065243,0.0,0.0,0.0
1845861,Val-Colon,España,Valencia,Comunidad Valenciana,1.0,0.5,0.0,40.0,0.0,1.0,1.0,6.35,0.0,0.15611084167278078,0.10465798699152187,0.2134186288163511,0.0,0.0
1858114,Zar-Puerto Venecia,España,Zaragoza,Aragón,0.17,0.0,0.0,28.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0
1653078,Bil-Rodriguez Arias,España,Bizkaia,País Vasco,1.25,0.0,0.0,39.0,0.0,0.0,1.0,5.8999999999999995,0.0,0.0,0.0,0.0,0.0,0.0
130130,Zar-Gran Casa,España,Zaragoza,Aragón,19.67,0.0,0.0,11.0,0.0,1.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0
1901013,Mad-Plaza Norte 2,España,Madrid,Madrid,6.83,0.0,0.0,5.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
116634,Cord-Conde De Gondomar,España,Cordoba,Andalucía,31.0,0.0,0.0,74.0,0.0,0.0,0.0,11.1,0.0,0.1541234863458677,0.08336248197442662,0.0,0.0,0.0
115381,Mad-Fuencarral,España,Madrid,Madrid,38.75,0.0,1.0,44.0,0.0,2.0,0.0,6.8999999999999995,0.0,0.0974257523845216,0.18724166910679993,0.0,0.0,0.0
145727,Stgo-As Cancelas,España,A Coruña,Galicia,17.58,0.0,0.0,15.0,0.0,1.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0
1893869,Mad-Castellana,España,Madrid,Madrid,6.83,0.0,0.0,13.0,0.0,0.0,0.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0
115449,Bcn-Pelayo,España,Barcelona,Cataluña,40.67,0.0,0.0,14.0,0.0,0.0,1.0,2.15,0.0,0.0,0.29657324935524587,0.0,0.0,0.0
1643869,Bcn-Cataluña,España,Barcelona,Cataluña,6.42,0.0,0.0,6.0,0.0,3.0,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0
272778,Cast-Salera,España,Castellon,Comunidad Valenciana,17.42,2.0,0.0,14.0,0.0,0.0,0.0,2.9000000000000004,0.0,0.30145924440361493,0.0,0.0,0.0,0.0
1657227,Bcn-Diagonal Mar,España,Barcelona,Cataluña,2.83,0.0,0.0,8.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
1888544,Plat-S'agaro,España,Gerona,Cataluña,0.33,1.0,1.0,6.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
133574,Arm-Nevada Parque Comercial,España,Granada,Andalucía,18.92,0.0,0.0,31.0,0.0,1.0,0.0,4.749999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1888083,Mad-Serrano,España,Madrid,Madrid,0.67,0.0,0.0,40.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
1866778,Oren-Paseo,España,Ourense,Galicia,1.17,0.0,0.0,92.0,0.0,0.0,0.0,13.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1681975,Jun-Gran Jonquera,España,Gerona,Cataluña,5.75,0.0,0.0,11.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0
1826737,Mad-Plaza Rio 2,España,Madrid,Madrid,3.0,0.0,0.0,17.0,0.0,1.0,0.0,2.65,0.0,0.0,0.2520024691904926,0.0,0.0,0.0
121364,Elche-L'aljub,España,Alicante,Comunidad Valenciana,16.58,3.3333333333333335,2.0,45.0,0.0,0.0,0.0,8.283333333333333,0.1997644432855612,0.10100987916875571,0.07298111464359507,0.0,0.0,0.0
1677254,Tfe-Alcampo_La Laguna,España,Tenerife,Canarias,3.0,4.0,2.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.48076634187329476,0.0
1828905,Elche-L'aljub,España,Alicante,Comunidad Valenciana,0.08,3.0,0.0,23.0,0.0,1.0,1.0,4.8,0.0,0.44928670977150575,0.0,0.0,0.0,0.0
1841758,Alb-Mayor,España,Albacete,Castilla - La Mancha,2.08,0.0,0.0,34.0,3.0,1.0,1.0,5.849999999999999,0.0,0.21103254406777103,0.14147794615140727,0.0,0.0,0.0
1873286,Mall-Sant Feliu_P.Borne,España,Baleares,Baleares,1.0,4.0,1.0,9.0,0.0,0.0,0.0,3.05,0.0,0.17941227425480136,0.0,0.0,0.0,0.0
1610185,Mall-Porto Pi,España,Baleares,Baleares,8.75,3.8333333333333335,4.0,74.0,0.0,0.0,0.0,13.033333333333333,0.0,0.25369160446213584,0.11256014239228465,0.0,0.0,0.0
1824372,Pont-Benito Corbal,España,Pontevedra,Galicia,0.83,0.0,0.0,5.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
148556,Mad-Goya,España,Madrid,Madrid,17.5,0.0,0.0,27.0,0.0,0.0,0.0,4.05,0.0,0.0,0.0,0.0,0.0,0.0
1869415,Mad-Plaza Norte 2,España,Madrid,Madrid,0.58,4.0,0.0,6.0,0.0,0.0,0.0,2.5,0.0,0.5963133873285568,0.0,0.0,0.0,0.0
1869989,Bcn-Paseo Gracia,España,Barcelona,Cataluña,1.17,0.0,0.0,7.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0
1854098,Mad-Goya,España,Madrid,Madrid,1.83,2.6666666666666665,3.0,17.0,0.0,0.0,0.0,3.9166666666666665,0.0,0.0,0.0,0.0,0.15601431381506545,0.0
1854152,Bcn-Paseo Gracia,España,Barcelona,Cataluña,1.83,0.0,0.0,7.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0
117027,Jerez-Area Sur,España,Cadiz,Andalucía,29.0,0.0,0.0,36.0,0.0,1.0,0.0,5.499999999999999,0.0,0.0,0.1481159047001942,0.0,0.0,0.0
945557,Mad-Parque Corredor,España,Madrid,Madrid,14.58,4.0,2.0,167.0,0.0,1.0,0.0,26.950000000000003,0.32958309982082573,0.19604258501943303,0.046668522625288214,0.0,0.0,0.0
124279,Tfe-Candelaria,España,Tenerife,Canarias,21.75,0.0,0.0,72.0,0.0,3.0,0.0,11.1,0.0,0.2375683240914614,0.08756904099657199,0.0,0.0,0.0
118306,Alb-Mayor,España,Albacete,Castilla - La Mancha,26.67,4.0,0.0,101.0,0.0,1.0,0.0,16.85,0.0,0.18713920264742975,0.06643939294708925,0.0,0.0,0.0
144939,Jun-Gran Jonquera,España,Gerona,Cataluña,17.42,0.0,0.0,30.0,0.0,2.0,0.0,4.7,0.0,0.0,0.15321810409780595,0.0,0.0,0.0
1229164,Mal-Marques Larios,España,Malaga,Andalucía,6.75,2.0,1.0,13.0,0.0,1.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0
1661204,Adeje-Siam Mall,España,Tenerife,Canarias,3.42,4.0,3.0,34.0,0.0,0.0,1.0,7.05,0.0,0.0,0.0,0.0,0.13928507819019892,0.0
126385,Sev-Plaza Del Duque 5,España,Sevilla,Andalucía,20.92,0.0,1.0,27.0,0.0,2.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0
1649046,Mad-Plaza Norte 2,España,Madrid,Madrid,7.08,2.0,0.0,40.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0
1497966,Cor-Marineda City,España,A Coruña,Galicia,9.92,4.0,0.0,19.0,0.0,1.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0
277989,Cac-Ruta De La Plata,España,Caceres,Extremadura,14.42,2.0,3.0,15.0,0.0,2.0,0.0,3.5500000000000003,0.0,0.0,0.0,0.0,0.0,0.0
1640185,Torrev-Las Habaneras,España,Alicante,Comunidad Valenciana,5.83,4.333333333333333,1.0,31.0,0.0,1.0,1.0,6.633333333333332,0.0,0.0,0.0,0.0,0.0,0.0
1663970,Mur-Nueva Condomina,España,Murcia,Murcia,5.92,0.0,0.0,30.0,0.0,0.0,1.0,4.55,0.0,0.12942392588745025,0.1469090644619808,0.0,0.0,0.0
1843150,Lp-El Mirador,España,Las Palmas,Canarias,2.5,4.0,0.0,5.0,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0
